country_name,country_code,imports_usd,exports_usd,population_total,gdp_usd
Africa Eastern and Southern,AFE,377518564540.551,347371312400.777,788844284,1358694050872.54
Albania,ALB,12985289569.4685,11304181754.173,2349580,30540188271.3421
Algeria,DZA,63560679353.9121,48321061532.7539,47435312,287031225987.736
Angola,AGO,14256453828.8266,28073040732.7773,39040039,122174889423.635
Argentina,ARG,101159779350.506,106260393150.75,45851378,683097891618.597
Armenia,ARM,15676547634.4281,14065779954.0064,3086700,29243452882.3545
Australia,AUS,407490633310.53,418055624770.646,27614411,1798518933689.21
Austria,AUT,303166499174.524,316981385994.885,9208163,579470021095.418
Azerbaijan,AZE,27950647058.8235,32670058823.5294,10246996,75937647058.8235
Bangladesh,BGD,76818948730.2173,50724940945.2083,175686899,456319229255.578
Belarus,BLR,53261674554.2369,51443726734.383,9085991,93397215864.198
Belgium,BEL,562002311236.156,547364961669.411,11941781,725466462859.646
Benin,BEN,4929128052.07759,4189174580.02885,14814460,24566420903.5337
Bosnia and Herzegovina,BIH,17643126767.611,13366489381.94,3140095,32599982936.3931
Botswana,BWA,7475356083.44098,6383839015.67597,2562122,19928479839.4476
Brazil,BRA,398319353081.263,406298241937.141,212812405,2279920092492.13
Brunei Darussalam,BRN,7822316769.65819,10758583397.0485,466330,15031980994.1121
Bulgaria,BGR,67710937458.2491,66354382380.9581,6433302,130777235529.606
Burkina Faso,BFA,8291794759.22575,9666763788.45255,24074580,27627297461.3181
Cabo Verde,CPV,1630785620.92502,1283053104.60468,527326,3056630435.32463
Cambodia,KHM,34576163750.5046,35193057307.4029,17847982,51267065842.9641
Cameroon,CMR,11960615219.6562,7713888549.30439,29879337,58933453923.761
Canada,CAN,746500089837.294,726879970410.257,41651653,2319899772425.92
Central African Republic,CAF,1029045765.67717,593132852.007634,5513282,3066109226.40165
Central Europe and the Baltics,CEB,1517348607527.24,1557798203708.72,99814596,2762562481345.2
Chad,TCD,3589848354.57813,6316032158.59785,21003705,21472835225.4338
Chile,CHL,108715223275.322,123520198503.178,19859921,357371159574.862
China,CHN,3292280901123.49,4108470555117.51,1406585000,19498039388042.6
Colombia,COL,93242618942.8426,68538536936.8153,53425635,457410034202.523
Comoros,COM,573286720.626603,168747748.104269,882847,1814920856.27026
"Congo, Dem. Rep.",COD,39977700113.2934,39523166164.4367,112832473,91030531316.9936
"Congo, Rep.",COG,7117259247.18917,7830871682.15092,6484437,16306633778.765
Costa Rica,CRI,33590223066.19,39978465048.217,5152950,102904921157.478
Cote d'Ivoire,CIV,24716415280.5918,29717948364.1736,32711547,99773555666.1988
Croatia,HRV,55696868835.294,50399507887.8431,3876200,105060182186.274
Cyprus,CYP,37895679482.549,40225580413.4235,1370754,41225787247.3309
Czechia,CZE,238895347774.426,261773375377.022,10886878,391026962800.475
Denmark,DNK,273377454737.711,324310154069.936,6009169,462526660468.393
Djibouti,DJI,4430416214.1784,5109812571.38999,1184076,4624533092.31886
Dominican Republic,DOM,35489329536.5107,30119023791.074,11520487,127407463759.043
Early-demographic dividend,EAR,4525643203025.3,4215516070802.53,3592750579,16406032169247.4
East Asia & Pacific,EAS,9576067054149.27,10950945357715.1,2390873921,33656980597208.2
East Asia & Pacific (IDA & IBRD countries),TEA,5068055574793.46,5925439615083.3,2117367063,23218679986475.4
East Asia & Pacific (excluding high income),EAP,5077452085154.22,5933158784747.68,2143908411,23247334500847.4
Ecuador,ECU,36383153500.0,40970936400.0,18289896,130320560400.0
"Egypt, Arab Rep.",EGY,115107510878.37,72393571621.6233,118365995,365254630179.737
El Salvador,SLV,20597470000.0,11763690000.0,6365503,36708110000.0
Equatorial Guinea,GNQ,3643355302.10971,5965354779.22415,1938431,12823210425.9217
Estonia,EST,36400718571.8596,36854468950.5399,1366475,47030833798.5866
Ethiopia,ETH,25494178576.2035,16785187367.6025,135472051,126358758448.356
Euro area,EMU,8048425448247.99,8747504036242.87,358664361,18010000307247.0
Europe & Central Asia,ECS,13234770386334.7,14105638087316.6,932525035,32268612230366.9
Europe & Central Asia (IDA & IBRD countries),TEC,2104633445411.99,2069129618677.17,462559433,7077191807196.39
Europe & Central Asia (excluding high income),ECA,922802728874.218,817100367027.836,253280471,2815874458069.5
European Union,EUU,9732689207373.9,10538060548522.1,451127411,21243212570163.3
Finland,FIN,130205696939.608,134192277447.843,5646436,317039368819.607
France,FRA,1137799795606.86,1124107902931.06,68720337,3366315927447.33
Gabon,GAB,6299423682.95942,11890462993.1663,2593130,21427119323.2764
"Gambia, The",GMB,1282337368.5052,330185893.239135,2822093,2593673987.53306
Georgia,GEO,20300929830.9143,18082223921.5759,3935766,38143612855.1367
Germany,DEU,1923292318697.25,2042329262308.23,83491249,5050922925047.05
Greece,GRC,123451154937.678,110743741990.477,10413962,280635521324.441
Guatemala,GTM,38185944239.1888,19185393857.5219,18687881,123306008821.471
Guinea,GIN,17649957798.7358,11738637526.4471,15099727,28346024753.2924
Guinea-Bissau,GNB,682869562.110331,350530220.912147,2249515,2527930272.92988
