country_name,country_code,imports_usd,exports_usd,population_total,household_consumption_usd,government_expidenture_usd,gross_capital_formation_usd,gdp_usd
Algeria,DZA,63560679353.9121,48321061532.7539,47435312.0,119866905688.327,52472242416.1374,129931703302.872,287031233586.17816
Argentina,ARG,101159779350.506,106260393150.75,45851378.0,478050152798.815,101968114655.242,110071583194.44,695190464448.7411
Armenia,ARM,15676547634.4281,14065779954.0064,3086700.0,20793018268.2618,2981190666.90783,7080011627.60652,29243452882.354446
Australia,AUS,407490633310.53,418055624770.646,27614411.0,932618084360.719,416335351106.043,439936366701.767,1799454793628.6448
Austria,AUT,303166499174.524,316981385994.885,9208163.0,300431586297.645,126954460867.823,137098073154.636,578299007140.4651
Azerbaijan,AZE,27950647058.8235,32670058823.5294,10246996.0,45083234134.1176,11792117647.0588,14342882352.9412,75937645898.8235
Bangladesh,BGD,76818948730.2173,50724940945.2083,175686899.0,329554497280.582,26474081422.5853,130238529297.806,460173100215.9643
Belarus,BLR,53261674554.2369,51443726734.383,9085991.0,51907271498.041,17651714222.8775,25331465296.0486,93072503197.1132
Belgium,BEL,562002311236.156,547364961669.411,11941781.0,379547211014.705,173772648789.725,186783952621.961,725466462859.6462
Benin,BEN,4929128052.07759,4189174580.02885,14814460.0,14325815408.9214,2179305604.39437,8801253362.26669,24566420903.53372
Bosnia and Herzegovina,BIH,17643126767.611,13366489381.94,3140095.0,22609179989.9232,6621918318.35848,9368498967.53649,34322959890.14717
Botswana,BWA,7475356083.44098,6383839015.67597,2562122.0,9121835982.58174,6274144519.52666,5810588982.70031,20115052417.0437
Brazil,BRA,398319353081.263,406298241937.141,212812405.0,1446379111361.04,436243016734.78,389319075540.432,2279920092492.13
Brunei Darussalam,BRN,7822316769.65819,10758583397.0485,466330.0,4406333388.09618,3579333344.48833,4077754087.09333,14999687447.068151
Bulgaria,BGR,67710937458.2491,66354382380.9581,6433302.0,76501066275.8946,27232444707.0203,28400279623.9817,130777235529.60564
Burkina Faso,BFA,8291794759.22575,9666763788.45255,24074580.0,16575058922.0602,4919216938.44711,4758052571.58396,27627297461.318077
Cabo Verde,CPV,1630785620.92502,1283053104.60468,527326.0,2173679247.5272,698624588.547894,532059116.591708,3056630436.3464622
Cambodia,KHM,34576163750.5046,35193057307.4029,17847982.0,29864391799.241,2897843737.82352,16161527710.9151,49540656804.87792
Cameroon,CMR,11960615219.6562,7713888549.30439,29879337.0,44679625697.6809,6569903192.96642,11399234251.2619,58402036471.55742
Canada,CAN,746500089837.294,726879970410.257,41651653.0,1294100333856.76,508175469756.105,537159688324.215,2319815372510.043
Central African Republic,CAF,1029045765.67717,593132852.007634,5513282.0,2900494513.34553,316244191.698189,285282583.032742,3066108374.406925
Chad,TCD,3589848354.57813,6316032158.59785,21003705.0,12250006800.9216,2125528635.36507,4371117796.17468,21472837036.48107
Chile,CHL,108715223275.322,123520198503.178,19859921.0,202787508774.011,53805757600.3528,85972917853.1247,357371159455.3444
Colombia,COL,93242618942.8426,68538536936.8153,53425635.0,334790901640.133,70848600153.4901,76474614414.9273,457410034202.52313
Comoros,COM,573286720.626603,168747748.104269,882847.0,1840973638.9153,163504928.88324,214981260.994053,1814920856.270259
"Congo, Dem. Rep.",COD,39977700113.2934,39523166164.4367,112832473.0,48006202917.6934,14513342524.0214,28814304717.219,90879316210.07712
